kode,navn
3860,MAYBACH
3870,MAN
3880,MATADOR
3890,MATRA
3900,MERCEDES-BENZ
3901,MERCEDES-AMG
3910,SMART
3920,MASERATI
3930,MAZDA
3940,LAIKA
3950,MERCURY
3960,MULTIVANS
3970,NILSSON
3980,DANGEL
3990,EURA MOBIL
4000,MG
4010,*MITSUBISHI
4011,MITSUBISHI
4012,COLT
4013,MITSUBISHI FUSO
4020,MIRAGE
4030,HUMMER
4040,SANTANA
4050,MORGAN
4060,KARMANN MOBIL
4070,LADA
4080,AUTOSTAR
4090,SOLARIS
4100,MORRIS
4110,RENAULT SAMSUNG
4120,CONCORDE
4130,VDL
4140,CAPRON
4150,MOSKWITCH
4200,NASH
4210,NECKAR
4220,NENE VALLEY
4240,N.M.V.
4250,NSU
4260,NOBAS
4270,NORSK CARAVAN INDUSTRI
4280,NØDING VERKSTEDER
4290,ASTON MARTIN LAGONDA
4300,OLDSMOBILE
4310,ORY
4320,MCLOUIS
4330,INFINITI
4340,MICRO-VETT
4350,OPEL
4360,TESLA
4370,OWEREN
4380,LA STRADA
4390,CARTHAGO
4400,PACKARD
4410,TEMSA
4450,PANHARD
4500,PEUGEOT
4550,PLYMOUTH
4600,POBEDA
4610,POLONEZ
4620,POLSKI FIAT
4650,PONTIAC
4700,PORSCHE
4710,SCHØYEN KAROSSERI
4720,PRAGA
4730,PRINCE (PMC)
4740,RA-GLA
4750,*AMERICAN MOTORS
4751,AMERICAN MOTORS
4752,AMC
4753,RAMBLER
4760,PRINCESS
4790,RAPID
4800,RENAULT
4840,REO
4850,RILEY
4860,ROBUR
4900,ROLLS-ROYCE
4950,*ROVER
4951,ROVER
4952,RANGE ROVER
4953,LAND ROVER
5000,SAAB
5001,*SAAB
5040,SCANIA
5050,*CHRYSLER FRANCE
5051,*CHRYSLER FRANCE
5052,SIMCA
5070,SIMA
5090,SEAT
5100,SINGER
5140,SISU
5150,SKODA
5170,SNOW TRACE
5190,SOLIFER
5200,STANDARD
5210,SLETTEMOEN
5230,STRICK
5240,STEYR
5250,STUDEBAKER
5260,SUBARU
5300,*CHRYSLER UK
5301,*CHRYSLER UK
5302,SUNBEAM
5390,TABBERT
5400,TATRA
5410,TALBOT
5420,ZASTAVA
5450,TEMPO BIL
5480,TOYOTA
5481,LEXUS
5500,TRIUMPH
5560,U.A.Z.
5590,UNIMOG
5600,VAUXHALL
5610,VAZ
5620,VECO
5630,LADA-VAZ
5700,VOLGA
5750,VOLKSWAGEN
5800,VOLVO
5801,VOLVO BM
5820,VALIANT
5850,WANDERER
5870,WATERBIRD
5900,WARZAWA
5920,WESTFALIA
5930,WHITE
5950,WILLYS
6000,WOLSELEY
6040,YALE
6060,YC
6070,YORK
6100,ZIM
6340,BERIX
6350,KTM
6360,NORDTRAC
6361,LYNX
6370,FINNCAT
6380,TOMOS
6390,TRAPPER
6400,SIS
6410,MOTRON
6420,MALAGUTI
6430,KURIKAN
6440,CAGIVA
6450,URAL
6460,TM3
6470,SIMSON
6480,BIMOTA
6490,YUHU
6500,GRECAV
6510,LAVERDA
6520,APRILIA
6530,KORADO
6540,BAJAJ
6550,MINSK
6560,GAS GAS
6570,ITALJET
6580,HYOSUNG
6590,BUELL
6600,BOOM TRIKES
6610,HER CHEE
6620,HUSABERG
6630,TUGGER
6640,SIMPA JDM
6650,HERO
6651,HERO MAJESTIC
6660,SUNDIRO
6670,WAAIJENBERG
6680,CHUN LAN
6690,SAN YANG
6700,MOTO UNION
6710,SYM
6720,MOTORHISPANIA
6730,KYMCO
6740,MICROCAR
6750,BENELLI
6760,LIGIER
6770,IGM
6780,BELLIER
6790,DI BLASI
6800,SIAMOTO
6810,SECMA
6820,AIXAM
6821,MEGA
6830,CASALINI
6840,MV AGUSTA
6850,JINCHENG
6860,DERBI
6870,TGB
6880,TASSO
6890,P.G.O.
6900,CLASSIC
6910,V.O.R. MOTORI
6920,RIEJU
6930,BETA
6940,CPI
6950,CCM
6960,SHE LUNG
6970,CHATENET
6980,DAELIM
6990,AD.EL
7010,AEON
7020,ATALA
7030,E-TON
7040,AJS
7050,GLIDER
7060,AD BOIVIN
7070,UNILLI
7080,GDF
7090,SWAP
7100,HRD
7110,EVT
7120,DINLI
7130,HTM
7140,ARIEL
7150,ARCTIC CAT
7160,AWO
7170,ITALVEL
7180,EVF
7190,MOTO
7210,NPO SATURN
7220,SAXONETTE
7230,STANDARD MOTOR CORPORATION
7231,KASEA MOTORSPORTS
7240,LINHAI
7250,HM
7260,BAROSSA
7270,MOTORTEK
7280,BSA
7290,ZONGSHEN
7291,MOTO-ROMA
7292,KENTOYA
7293,ZIP STAR
7294,ZEALZUN
7300,ZHONGYU
7310,CEZETA
7320,LIFAN
7321,SKYGO
7322,HONLEI
7323,BRANSON
7330,HCF
7340,DANUVIA
7350,GLOBAL GENERATION CULT
7360,BAOTIAN
7370,SANILI
7380,HONGYI
7390,REVA
7400,UVM
7410,FACTORY BIKE
7420,HIGHLAND
7430,CHUANL
7440,DUCATI
7450,EVINRUDE
7460,JORDAN
7470,SEAC
7480,SHERCO
7490,FRAM KING
7500,LONCIN
7510,GGC
7520,SV
7530,MASAI
7540,KL
7550,KEEWAY
7560,GILERA
7570,SCORPA
7580,AIE
7590,QINGQI
7600,CH RACING
7610,XINTIAN
7611,KINROAD
7612,MARSHIN
7620,AMS
7630,KEWET BUDDY
7640,TM
7650,LONGCHANG
7660,HARLEY-DAVIDSON
7670,KASEA
7671,JEHM
7672,BARISTA
7680,HEINKEL
7690,YIYING
7700,MOTORBIKE
7710,FEIYING
7711,FYM
7720,HMW
7730,GENERIC MOTOR
7740,HONDA
7750,CITY BUG
7760,HOREX
7770,MOTO ZETA
7780,HUSQVARNA
7790,SKY TEAM
7800,TANTA PAULA
7810,PELPI INTERNATIONAL
7820,NORSJØ
7825,XINGYUE
7830,XINLING
7840,INDIAN
7850,ACCESS
7860,INO
7870,JINLUN
7880,ISO
7890,EGO CYCLE
7891,JIAJI
7892,FEILING
7893,RUNUNION
7894,CARTER
7895,BENZHOU
7896,HUDSON BIKE
7897,TEXAS
7898,JONWAY
7899,ODES
7900,EGO VEHICLES
7901,LEIKE
7902,EFFEDI
7903,ZNEN
7904,KUDAKI
7905,DRESEL MCT
7906,E.-ATV RACING GMBH
7907,KAZUMA
7908,ROXON
7909,TNS
7910,JOHNSON
7911,OXYGEN
7912,SHENGQIBAO
7913,MONNIER
7914,LINGBEN
7915,RIYA
7916,VECTRIX
7917,MEIDUO
7918,VONROAD
7919,MTL
7920,JAWA
7921,CZ
7922,INCALCU
7923,TIANJIU
7924,GUOBEN
7925,BTM
7926,BINQI
7927,VICTORY
7928,BRP
7929,CAN-AM
7930,BANHE
7931,MH MOTORCYCLES
7932,CECTEK
7933,EMAX
7934,HUAJUE
7935,JFC
7936,GOKA
7937,*STANDARD MOTOR CORPORATION
7938,ORION
7940,LAMBRETTA
7950,SHINERAY
7960,QUADDY
7970,KAWASAKI
7980,PAOLETTI RACING
7990,KREIDLER
8000,MATCHLESS
8010,CRESCENT
8020,MESSERSCHMITT
8030,FANTIC
8040,MONARK
8050,BASHAN
8060,MOTOBECANE
8070,MOTO GUZZI
8080,MZ
8081,MUZ
8090,MOTO SKI
8100,NIMBUS
8110,AERO
8120,GARELLI
8130,HUASHA
8131,DB
8132,CSR
8133,KANUNI
8134,TERRENGEN
8135,BRUDELI
8136,GOES
8137,HR
8138,GINOMOTO
8139,MEGELLI
8140,NORTON
8141,XMOTOS
8142,SKYTEAM
8143,ZHENHUA
8144,JMSTAR
8145,BUYANG
8146,LONGJIA
8147,XUFENG
8148,BUNKER-TRIKE
8149,ECO-FLASH
8150,ERATO
8151,JINLING
8152,MIKILON
8153,IRBIT MOTORCYCLE PLANT
8154,AUSA
8155,SEEYES
8156,SONIK
8157,APOLLO
8158,SHENKE
8159,HAILI
8160,JINDING
8161,JIAJUE
8162,CRALLE
8163,ELBIL NORGE
8164,NICOM
8165,CEMOTO
8166,FASPIDER
8167,AGIRRA
8170,CFMOTO
8180,DADYW
8181,PAGSTA
8190,BLACKN ROLL
8200,PANNONIA
8210,OUTBOARD MARINE
8220,METRAKIT
8230,OCKELBO
8240,POLAR METAL PLAST
8250,POLARIS
8260,PUCH
8270,RAJD
8280,RAUFOSSMOPEDEN
8290,JIANSHE
8300,DAIFO
8310,BEYOND
8320,ROYAL ENFIELD
8321,ENFIELD
8330,WANGYE
8331,SANBEN
8340,DIVINE STAR&MOON
8341,GSMOON
8350,RUSCH
8360,SKIROULE
8370,SNO TRIC
8380,SUZUKI
8390,GAMAX
8400,*TEMPO
8401,TEMPO MC
8402,TEMPO-LETT
8403,TRYGG
8404,SVITHUN
8405,ARROW
8406,ERLA
8407,PAN
8408,HERCULES
8409,S
8410,ØGLAND DBS
8411,MAMMUT
8412,OLYMPIC
8413,SACHS
8414,TAMBAR
8415,WESTBY
8420,TERMOPED
8430,NFM
8440,EMEISHAN
8441,HAIZHIMENG
8450,GIANTCO
8451,TP
8452,SKYLINE
8453,PEACE SPORTS
8454,YAMASAKI
8455,MINBAN
8456,TMS
8457,ROMET MOTORS
8458,MTR.
8459,PIONEER
8460,VELSA
8461,JINAN
8462,SWEI
8463,MOTOGINO
8464,RHON
8465,DAFIER
8466,RAMZEY
8467,SUKIDA
8468,HANGLONG
8469,HUATIAN
8470,WONJAN
8471,CHAOYUE
8472,HSUN
8473,LONGBO
8474,HI-BIRD
8475,BAKUS
8476,FUXIN
8478,ZHEJIANG
8479,YJ
8480,VOLVO BM VALMET
8490,HOLDER
8500,VELOCETTE
8510,TRACTORUL
8520,*PIAGGIO VESPA
8521,PIAGGIO VESPA
8522,PIAGGIO
8523,VESPA
8530,YANMAR
8540,VICTORIA
8550,YAMAHA
8551,BELGARDA
8560,IMT
8570,LANDINI
8580,ZUNDAPP
8590,HURLIMANN
8600,ANTONIO CARRARO
8610,UNIVERSAL
8620,VALPADANA
8630,NEW HOLLAND
8640,MELEX WSK MIELEC
8650,SCHANZLIN
8660,JCB
8670,VALTRA
8680,MCCORMICK
8690,CLAAS
8700,JINMA
8710,CARON
8720,CUB CADET
8730,FOTON
8740,MAHINDRA
8750,KIOTI
8760,DONG FENG
8770,TYM
8780,MTZ
9000,HYDREMA
9020,ALLGAIER
9040,ALLIS-CHALMERS
9050,BAUTZ
9070,AEBI
9080,*BOLINDER MUNKTELL
9081,BOLINDER MUNKTELL
9082,MUNKTELL
9090,BUKH
9100,*CASE INTERNATIONAL
9101,CASE INTERNATIONAL
9102,CASE
9103,CASE IH
9110,COUNTY
9120,DAVID BROWN
9130,BUCHER
9140,BELARUS
9150,KUBOTA
9160,DEUTZ
9161,DEUTZ-FAHR
9170,ISEKI
9200,FAHR
9220,FARMALL
9240,*MASSEY-FERGUSON
9241,MASSEY-FERGUSON
9242,FERGUSON
9260,*FORD
9280,FORDSON
9320,GULDNER
9360,*INTERNATIONAL HARVESTER
9361,INTERNATIONAL HARVESTER
9362,MCCORMICK INTERNATIONAL
9380,JOHN DEERE
9440,LANZ
9500,MASSEY-HARRIS
9540,NUFFIELD
9560,OLIVER
9570,LAMBORGHINI
9580,MUIR-HILL
9590,ROADLESS
9600,SCHILTER
9610,URSUS
9620,SAME
9630,SHIBAURA
9660,VALMET
9661,VALTRA VALMET
9720,ZETOR
